text,true_emotion,predicted_emotion
thats not good,anger,sadness
"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield",anger,anger
Don't fucking disrespect the World's Largest Love Machine ever again,anger,anger
He let a raccoon into our house.,anger,surprise
Making my buddy cry !! Bitch wait for revenge 🤗👌🏻,anger,anger
@ITdominiccoyle @IrishTimesBiz Between Barroso going to Goldman and this the @EU_Commission is getting a very serious self inflicted problem,disgust,disgust
Mark it nsfw just to mess with people. Worst title I have seen all week.,disgust,disgust
"I’d tell her nothing, that freaking weirdo would just never see my kid. The End. Disgusting.",disgust,disgust
This is disgusting.,disgust,disgust
I feel bad for these guys. I'd like to be able to help ex-mos in trouble.,disgust,sadness
@tysonwaters and @WatersWife 'Being over it.' Why USA has #panicattacks #anxiety #depression and so much medication!,fear,sadness
Yow thats gnarly.,fear,disgust
"In that case, I’m appalled. ",fear,disgust
Job interview tomorrow 😎 #bright side,fear,joy
When you're on a train as its pitch black outside and you have no idea where you are... #travel #whereami #lost #adventure,fear,fear
You gotta find that fine line where you amass as much paper equity as possible while not sacrificing what’s really important in life.,joy,joy
i was not prepared for this,joy,surprise
"Wow. No words. America, the land of opportunity!!!!!",joy,surprise
"Everything can be turned into a fetish, why right now someone could be jerking off while watching paint dry. ",joy,disgust
To calm him down I suppose.,joy,surprise
In sorry but that seems like quite a shallow grave...,sadness,disgust
"However, deep inside my heart, I really want to go back to my hometown.",sadness,sadness
"That sums it up perfectly, but for a lot of people it's still the worst mgs... So you can tell it was very risky",sadness,sadness
"Problem is, it is Bantam and younger. I can teach breakouts easy enough and I don't need a panicked D zone to do it.",sadness,fear
You forgot our dear friends from Paris,sadness,sadness
"Uh, she was [NAME] girlfriend. She broke up with him with that text.",surprise,sadness
"""How did they get away from everyone. ""Fillies and gentlecolts,we are gathered here today to honor the nation of England for this Oscar.",surprise,surprise
Anyone else on the Knicks you would want then?,surprise,sadness
No fucking clue,surprise,surprise
"Yeah, I'm like I'll get on and play some Magic Arena, but every time I'm like this game is terrible AF. ",surprise,disgust
