text,true_emotion,predicted_emotion
Can someone explain to me what's stopping [NAME] from pardoning everything [NAME] even gazes at?,anger,anger
I disagree. In that I believe that season 3 was also very good. I think it's better than season 4.,anger,joy
Don't ruin it for him,anger,anger
Just a heads up thats not what neoliberalism is.,anger,anger
Nope this was Saturdays sunset :) I wish I was out there today for the sunset!,anger,sadness
Aw poor kid. At least he has a bomb-ass name. Too bad he probably doesn't remember it anymore.,anger,sadness
"MOTHERFUCKING FLYING MONKEYS, AHHHHHHHHGHGHHH!!!!!!!!!!!!",anger,fear
Suck really hard and hope it ends soon? And don't swallow!!! Bleck - sex is so much better with a woman.,anger,disgust
"@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'",anger,surprise
sixth form has destroyed my glowing skin im fuming,anger,anger
never worth it.,anger,sadness
"Wait, I see the problem, you are changing the word observation to assumption, which I think you know is disingenuous.",anger,anger
I never knew this! Nuts are a total fear food for me,anger,fear
"Short answer, you cant. Your making that sacrifice",anger,anger
@WelshGasDoc @PlaidCymru supporter @reesmarshall239 #prejudice against #disabled people #disabledlivesmatter #bully #bbcnews #skynews,anger,anger
"Life is precious? Then how come you shot [NAME], huh?",anger,anger
can we stop posting stuff like this? It comes off as desperate *edited for typo*,anger,anger
"Im madour area in Xian is low-risk, school let out on the 17th, others left for home, and Im alone in the dorm.",anger,sadness
"Nasty, pigeons are nasty.",anger,disgust
Stop spreading rumors! Go find out the truth yourself! Nonsense!,anger,anger
"That's all [NAME] had to do with his egg, instead he decided to bathe with it to make things weird",disgust,disgust
This might be the worst FO in Orlando magic history,disgust,sadness
@carlymarierozy @makeupsue it's sad but now we are making our own children vulnerable to the same terror.,disgust,sadness
"He was an awful HC, is in his 70s and has repeatedly said he doesnt want to do it again. ",disgust,anger
Youre an awful troll...,disgust,anger
Our soldiers in war zones are held to a higher level of rules of engagement than our police officers. #sad,disgust,sadness
"I was reading up last night and it's a mixed bag. Exercise can help with the depressive episodes, but it can make the manic episodes worse.",disgust,sadness
@MrsCassonC @15_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD?  #creepy #EnoughIsEnough,disgust,fear
@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,disgust,sadness
@OutdoorLoverz is this a bridge if I have to drive on such I will stop breathing Yooo I can't I'm to afraid,disgust,fear
"Could be worse, could be funky town",disgust,joy
"@esanderc @MrsFridayNext It is very specific areas only. I care like 0% about clothes, much to my mother's dismay.",disgust,joy
"Oh, those dreadful things. I gave those away.",disgust,disgust
Theyre disgusting people inside and out,disgust,disgust
@pmo100 @5liveSport .....I heard talk something is a miss. He looks weary.,disgust,sadness
Way to get a hold of her  #depressing,disgust,sadness
@billmaher @realDonaldTrump was right and you two have very similar stances against #radical #islamic #terror. Time to anoint the Orange one,disgust,anger
Well.... its even more weird to drink the milk of other species..so...,disgust,disgust
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany #sad,disgust,sadness
Now you know which cars to wreck into !,disgust,anger
looked at me like i had flesh eating bacteria or a still-birthed twin growing from the left side of my head.,fear,disgust
"Well what is she gonna do, climb over the wall?",fear,anger
I just realized that I have stitches in my mouth.,fear,surprise
Maybe so. Should I try to ask her about it? I'm worried that will only scare her more,fear,fear
In my opinion at night peds have just as much responsibility of being seen as drivers have to see.,fear,anger
Mommy bad man!!!,fear,anger
"i play it over and over in my head, word for word.",fear,sadness
I'm moving to the UK in 2 weeks. This terrifies me.,fear,fear
I love the way you phrased that. I do believe she is terribly afraid to look inward at herself.,fear,sadness
I'm so tired I read anti neurons as anti lemons for some reason,fear,surprise
Don't you're making me paranoid man,fear,fear
> or just explore the zones to grab quests. Sounds like a terrible reward for exploration,fear,disgust
Probably end of February and all of March before release. I think that's what they did last year,fear,surprise
Saw this on the front page and that was the only thing i could think of!,fear,joy
"Tomorrow is going to be a challenge, I have to talk at a freshers fair to STRANGERS and pick up my new flat keys #anxiety",fear,fear
Any potential bride is warned:  The groomsmen gifts will be swords.,fear,surprise
"""Yeah, but did you just find that?",fear,surprise
"""I don't know I don't know I don't know...""",fear,sadness
Theyre just insecure tbh,fear,anger
Got married so I don't have to worry about it.,fear,joy
I remember being 4 and so excited to help pair the socks after they were dried. Kids love being involved.,joy,joy
"Idk what dumbass downvoted you, somatotypes are bullshit lol",joy,anger
Just be there for him in the best way you can. Look out for him but also keep yourself in mind. It's all you can do,joy,sadness
YOU KNOW HOW MUCH I SACRIFICED?,joy,anger
"""Yeah but they're not violating *my* rights so it's okay""",joy,anger
That's gorgeous!,joy,joy
great for on the go! but ill always smoke glass if im home :),joy,joy
[NAME] you are a freak.,joy,anger
He makes my man bits tingle. Loved him in Robin Hood Men in Tights just as much.,joy,joy
lmao and I thought I was the only one,joy,joy
Excellent work thank you for this. This is why I love Reddit.,joy,joy
"Oh she'll most probably die in that route for sure. I just hope she doesn't get a lame death, that's all",joy,fear
"The best feeling ever was when class was over and it never got to your turn, so you didnt have to present until the next day",joy,joy
I've got six aces,joy,surprise
"Haha, glad someone was able to point you in the right direction then ",joy,joy
"O you who have believed, fear Allah and believe in His Messenger; He will [then] give you a double portion of His mercy...' (Quran 57:28)",joy,surprise
I tell myself that but when Im at 90 Im like a zombie,joy,sadness
"This is how I bought zilliqa. In a whisky induced blackout. We are twim, you and I. ",joy,joy
We roll up to the drive thru and proceed to order nearly the entire dollar menu.,joy,joy
"I hope you managed to skunk him, so he caught an aroma every time he moved. ",joy,anger
This made me incredibly happy and incredibly sad. Sometimes this universe robs us of the wrong people.,sadness,sadness
"You have to drink 25 beers in a row to unlock them though, so they're pretty hard to get without cheating.",sadness,joy
Baaarissshhhhh + sad song =  prefect night  feeling alone,sadness,sadness
"Yeah, I might have used the wrong word.",sadness,sadness
"the original concern was about one particular type of vaccine, not all vaccinations.",sadness,surprise
@jccrocker #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later #sad #protest #PoliceShootings #suggestions,sadness,anger
His interviews are so awkward,sadness,disgust
Trial result #sadness,sadness,sadness
"For some reason I wanted to be a bartender when I was 8. After hearing this story, makes me feel I missed out. ",sadness,sadness
Sorry just seemed like you were trying to make it a [NAME] thing,sadness,sadness
"Hi, dont feel alone. Im here to talk if ya want if not thats cool too. Remember to try to be optimistic!",sadness,joy
alternate reality where @PoetryFound has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down,sadness,joy
No faith! Shame!,sadness,anger
"Well at least you are honest.However unless you are an imperialist i too see no reason whatsoever to occupy Afrin,not much to gain only problems.",sadness,anger
"I stand corrected, my apologies to the mods. I'd personally like to see more banned or removed but at least they handled the most egregious.",sadness,joy
That wasn't what I was expecting at all.,sadness,surprise
"Ohh, whoops. I still dont agree but I see my mistake ",sadness,surprise
"I was expecting the surprise birthday, not seen this twist on the sister before. ",sadness,surprise
"I also remember the scripts stating [NAME] look was one of jealousy, which disappoints me.",sadness,sadness
And they could have kids... yeah sorry. Im dumb,sadness,sadness
"Ahhh, I see. I thought you were saying they made you afraid of the sessions.",surprise,surprise
Is your friend a carny? Its okay if they are in just curious?,surprise,surprise
"That may work in General, but I think thered still be problems. ",surprise,sadness
I forgot not everyone has accused me of,surprise,sadness
Baby what is you doing.,surprise,surprise
Kinda reminds me of that pluto pic from nasa,surprise,surprise
Can we ban this person? Post history is sketch. Thanks in advance!,surprise,fear
that is how you start the second half wow,surprise,surprise
Note to self: always remember to draw my eyebrows on before posting a selfie.,surprise,joy
Is this [NAME] brother??,surprise,surprise
How can [NAME] be so stupid?,surprise,anger
How did anyone not know what this movie was? WE HAVE OUR OWN RELIGION.,surprise,surprise
"This is probably the most realistic if we throw in a 1st, ",surprise,surprise
I remember it like it was yesterday.,surprise,surprise
Haha oops **amiodarone. This is why we need safety checks for drug orders. ;),surprise,joy
How is this any different from women who claim that all men are awful people? I'm sure you dislike it when women do that.,surprise,anger
Want pizza time? Get religion,surprise,joy
Is it... alive?,surprise,fear
Oh cool. Did everything else that got listed not happen either?,surprise,anger
Im wondering about those friends of hers that encouraged her to contact you..,surprise,surprise
